TimeStep,Time,"U:0","U:1","U:2","Points:0","Points:1","Points:2"
100,1.00000000e+02,-1.17975920e-01,-4.13117439e-01,0.00000000e+00,8.55000019e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.20113850e-01,-4.25552964e-01,0.00000000e+00,8.60000014e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.22160643e-01,-4.38388944e-01,0.00000000e+00,8.65000010e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.24153815e-01,-4.51378793e-01,0.00000000e+00,8.70000005e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.25810891e-01,-4.64339375e-01,0.00000000e+00,8.75000000e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.27202481e-01,-4.76940602e-01,0.00000000e+00,8.79999995e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.28240973e-01,-4.89063919e-01,0.00000000e+00,8.84999990e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.28515124e-01,-4.99629796e-01,0.00000000e+00,8.89999986e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.28286824e-01,-5.08990169e-01,0.00000000e+00,8.94999981e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.27269402e-01,-5.16354918e-01,0.00000000e+00,8.99999976e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.25116289e-01,-5.20366549e-01,0.00000000e+00,9.04999971e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.22158274e-01,-5.21765411e-01,0.00000000e+00,9.10000026e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.18270233e-01,-5.20033002e-01,0.00000000e+00,9.15000021e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.12898543e-01,-5.12636364e-01,0.00000000e+00,9.20000017e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-1.06616542e-01,-5.01291573e-01,0.00000000e+00,9.25000012e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.94254649e-02,-4.85729754e-01,0.00000000e+00,9.30000007e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-9.13307518e-02,-4.65554237e-01,0.00000000e+00,9.35000002e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.23036283e-02,-4.39508528e-01,0.00000000e+00,9.39999998e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-7.28211775e-02,-4.09509808e-01,0.00000000e+00,9.44999993e-01,5.00000000e-01,0.00000000e+00
