"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-3.51743810e-02,3.55115354e-01,0.00000000e+00,2.01000005e-01,5.00000000e-01,0.00000000e+00
-3.53085771e-02,3.54370892e-01,0.00000000e+00,2.02000007e-01,5.00000000e-01,0.00000000e+00
-3.54427733e-02,3.53626430e-01,0.00000000e+00,2.02999994e-01,5.00000000e-01,0.00000000e+00
-3.55769694e-02,3.52881968e-01,0.00000000e+00,2.03999996e-01,5.00000000e-01,0.00000000e+00
-3.56997401e-02,3.52015018e-01,0.00000000e+00,2.04999998e-01,5.00000000e-01,0.00000000e+00
-3.58210392e-02,3.51132274e-01,0.00000000e+00,2.06000000e-01,5.00000000e-01,0.00000000e+00
-3.59423347e-02,3.50249529e-01,0.00000000e+00,2.07000002e-01,5.00000000e-01,0.00000000e+00
-3.60636301e-02,3.49366784e-01,0.00000000e+00,2.08000004e-01,5.00000000e-01,0.00000000e+00
-3.61849293e-02,3.48484010e-01,0.00000000e+00,2.09000006e-01,5.00000000e-01,0.00000000e+00
-3.63062248e-02,3.47601295e-01,0.00000000e+00,2.09999993e-01,5.00000000e-01,0.00000000e+00
-3.64275202e-02,3.46718520e-01,0.00000000e+00,2.10999995e-01,5.00000000e-01,0.00000000e+00
-3.65488157e-02,3.45835775e-01,0.00000000e+00,2.11999997e-01,5.00000000e-01,0.00000000e+00
-3.66701148e-02,3.44953030e-01,0.00000000e+00,2.13000000e-01,5.00000000e-01,0.00000000e+00
-3.67914103e-02,3.44070256e-01,0.00000000e+00,2.14000002e-01,5.00000000e-01,0.00000000e+00
-3.69079523e-02,3.43138695e-01,0.00000000e+00,2.15000004e-01,5.00000000e-01,0.00000000e+00
-3.70179787e-02,3.42140257e-01,0.00000000e+00,2.16000006e-01,5.00000000e-01,0.00000000e+00
-3.71280015e-02,3.41141850e-01,0.00000000e+00,2.16999993e-01,5.00000000e-01,0.00000000e+00
-3.72380279e-02,3.40143412e-01,0.00000000e+00,2.17999995e-01,5.00000000e-01,0.00000000e+00
-3.73480543e-02,3.39144975e-01,0.00000000e+00,2.18999997e-01,5.00000000e-01,0.00000000e+00
-3.74580808e-02,3.38146538e-01,0.00000000e+00,2.19999999e-01,5.00000000e-01,0.00000000e+00
-3.75681035e-02,3.37148100e-01,0.00000000e+00,2.21000001e-01,5.00000000e-01,0.00000000e+00
-3.76781300e-02,3.36149663e-01,0.00000000e+00,2.22000003e-01,5.00000000e-01,0.00000000e+00
-3.77881564e-02,3.35151225e-01,0.00000000e+00,2.23000005e-01,5.00000000e-01,0.00000000e+00
-3.78981829e-02,3.34152788e-01,0.00000000e+00,2.24000007e-01,5.00000000e-01,0.00000000e+00
-3.80082056e-02,3.33154351e-01,0.00000000e+00,2.24999994e-01,5.00000000e-01,0.00000000e+00
-3.81120108e-02,3.32095921e-01,0.00000000e+00,2.25999996e-01,5.00000000e-01,0.00000000e+00
-3.82125862e-02,3.31006289e-01,0.00000000e+00,2.26999998e-01,5.00000000e-01,0.00000000e+00
-3.83131616e-02,3.29916686e-01,0.00000000e+00,2.28000000e-01,5.00000000e-01,0.00000000e+00
-3.84137332e-02,3.28827053e-01,0.00000000e+00,2.29000002e-01,5.00000000e-01,0.00000000e+00
-3.85143086e-02,3.27737451e-01,0.00000000e+00,2.30000004e-01,5.00000000e-01,0.00000000e+00
-3.86148840e-02,3.26647818e-01,0.00000000e+00,2.31000006e-01,5.00000000e-01,0.00000000e+00
-3.87154557e-02,3.25558215e-01,0.00000000e+00,2.31999993e-01,5.00000000e-01,0.00000000e+00
-3.88160311e-02,3.24468613e-01,0.00000000e+00,2.32999995e-01,5.00000000e-01,0.00000000e+00
-3.89166027e-02,3.23379010e-01,0.00000000e+00,2.33999997e-01,5.00000000e-01,0.00000000e+00
-3.90171781e-02,3.22289377e-01,0.00000000e+00,2.34999999e-01,5.00000000e-01,0.00000000e+00
-3.91177535e-02,3.21199775e-01,0.00000000e+00,2.36000001e-01,5.00000000e-01,0.00000000e+00
-3.92139032e-02,3.20071369e-01,0.00000000e+00,2.37000003e-01,5.00000000e-01,0.00000000e+00
